event_id,avg_speed,avg_hr,heart_rate_stop,cadence_stop
458,9.454793552,163.0935987,164,83
458,9.454793552,163.0935987,170,84
458,9.454793552,163.0935987,161,82
458,9.454793552,163.0935987,146,82
776,9.687229766,135.3754181,148,81
776,9.687229766,135.3754181,134,81
776,9.687229766,135.3754181,116,83
776,9.687229766,135.3754181,115,81
776,9.687229766,135.3754181,110,82
776,9.687229766,135.3754181,123,74
776,9.687229766,135.3754181,107,81
776,9.687229766,135.3754181,113,79
776,9.687229766,135.3754181,143,83
780,9.91761963,147.4907621,122,87
780,9.91761963,147.4907621,148,76
780,9.91761963,147.4907621,161,84
65,9.956165125,144.4270463,140,0
65,9.956165125,144.4270463,155,99
65,9.956165125,144.4270463,160,95
65,9.956165125,144.4270463,155,92
474,9.993264745,128.0783875,115,83
295,10.0733566,132.4790005,123,79
295,10.0733566,132.4790005,123,79
295,10.0733566,132.4790005,139,80
295,10.0733566,132.4790005,131,79
295,10.0733566,132.4790005,122,80
781,10.08919797,138.5284828,161,85
17,10.10541781,135.2583047,169,85
17,10.10541781,135.2583047,163,87
17,10.10541781,135.2583047,164,84
17,10.10541781,135.2583047,161,83
17,10.10541781,135.2583047,56,0
17,10.10541781,135.2583047,138,83
17,10.10541781,135.2583047,139,83
17,10.10541781,135.2583047,132,83
17,10.10541781,135.2583047,130,83
17,10.10541781,135.2583047,142,83
379,10.26521746,112.8872215,148,81
379,10.26521746,112.8872215,123,80
379,10.26521746,112.8872215,120,80
379,10.26521746,112.8872215,130,95
379,10.26521746,112.8872215,136,87
379,10.26521746,112.8872215,117,81
379,10.26521746,112.8872215,113,81
379,10.26521746,112.8872215,103,79
379,10.26521746,112.8872215,112,79
379,10.26521746,112.8872215,117,80
388,10.33265501,113.0173954,144,81
388,10.33265501,113.0173954,148,81
388,10.33265501,113.0173954,111,80
388,10.33265501,113.0173954,111,81
388,10.33265501,113.0173954,116,80
388,10.33265501,113.0173954,109,79
388,10.33265501,113.0173954,112,81
388,10.33265501,113.0173954,114,81
388,10.33265501,113.0173954,113,82
388,10.33265501,113.0173954,112,81
431,10.48406426,129.8381743,137,80
431,10.48406426,129.8381743,165,79
431,10.48406426,129.8381743,121,82
431,10.48406426,129.8381743,115,82
431,10.48406426,129.8381743,116,82
627,10.56816306,151.7778396,165,85
744,10.64903656,135.4580537,169,84
744,10.64903656,135.4580537,138,83
816,10.68595147,131.4234069,139,83
816,10.68595147,131.4234069,144,83
816,10.68595147,131.4234069,140,88
816,10.68595147,131.4234069,125,86
437,10.68763958,122.7234957,163,80
437,10.68763958,122.7234957,148,82
437,10.68763958,122.7234957,159,79
437,10.68763958,122.7234957,112,83
437,10.68763958,122.7234957,118,83
437,10.68763958,122.7234957,116,83
437,10.68763958,122.7234957,118,82
437,10.68763958,122.7234957,124,85
661,10.73866661,134.175117,125,84
661,10.73866661,134.175117,142,85
779,10.76938526,134.8043947,162,83
779,10.76938526,134.8043947,167,84
779,10.76938526,134.8043947,123,82
779,10.76938526,134.8043947,170,85
779,10.76938526,134.8043947,142,81
779,10.76938526,134.8043947,121,81
779,10.76938526,134.8043947,118,83
779,10.76938526,134.8043947,117,84
779,10.76938526,134.8043947,139,83
779,10.76938526,134.8043947,123,85
666,10.76990446,127.9903174,119,82
666,10.76990446,127.9903174,140,82
668,10.77554245,137.2118708,135,84
668,10.77554245,137.2118708,128,83
668,10.77554245,137.2118708,158,82
668,10.77554245,137.2118708,162,84
591,10.80352056,133.0942207,148,80
591,10.80352056,133.0942207,126,82
591,10.80352056,133.0942207,135,82
591,10.80352056,133.0942207,138,83
591,10.80352056,133.0942207,122,82
591,10.80352056,133.0942207,137,83
591,10.80352056,133.0942207,132,84
591,10.80352056,133.0942207,126,83
591,10.80352056,133.0942207,138,83
591,10.80352056,133.0942207,132,83
591,10.80352056,133.0942207,142,84
799,10.80830954,157.3251983,147,84
775,10.81514181,139.885486,136,83
662,10.84690157,127.1428073,161,84
662,10.84690157,127.1428073,115,84
662,10.84690157,127.1428073,121,84
662,10.84690157,127.1428073,125,83
662,10.84690157,127.1428073,132,84
662,10.84690157,127.1428073,134,84
662,10.84690157,127.1428073,148,84
742,10.87544916,141.0710688,150,83
732,10.87986337,139.2453245,167,77
732,10.87986337,139.2453245,135,80
803,10.88275905,135.4876777,130,85
803,10.88275905,135.4876777,135,83
803,10.88275905,135.4876777,133,84
803,10.88275905,135.4876777,132,84
803,10.88275905,135.4876777,128,84
803,10.88275905,135.4876777,151,85
679,10.91028217,136.9261201,135,84
679,10.91028217,136.9261201,134,87
281,10.94288724,126.4245283,147,83
281,10.94288724,126.4245283,152,82
281,10.94288724,126.4245283,137,83
281,10.94288724,126.4245283,131,84
281,10.94288724,126.4245283,121,81
281,10.94288724,126.4245283,123,83
281,10.94288724,126.4245283,136,83
281,10.94288724,126.4245283,133,82
281,10.94288724,126.4245283,129,81
535,10.95394701,140.9521853,190,83
535,10.95394701,140.9521853,166,83
535,10.95394701,140.9521853,156,84
535,10.95394701,140.9521853,156,82
535,10.95394701,140.9521853,126,82
535,10.95394701,140.9521853,153,83
535,10.95394701,140.9521853,121,82
535,10.95394701,140.9521853,129,83
323,10.9683792,166.176,160,83
702,10.98452428,139.7406699,141,84
702,10.98452428,139.7406699,132,83
702,10.98452428,139.7406699,123,83
702,10.98452428,139.7406699,124,82
702,10.98452428,139.7406699,140,85
702,10.98452428,139.7406699,116,86
702,10.98452428,139.7406699,141,84
702,10.98452428,139.7406699,151,85
702,10.98452428,139.7406699,147,84
702,10.98452428,139.7406699,151,85
702,10.98452428,139.7406699,156,84
702,10.98452428,139.7406699,142,87
702,10.98452428,139.7406699,148,86
702,10.98452428,139.7406699,158,87
648,10.98772784,124.3860252,168,84
648,10.98772784,124.3860252,165,85
648,10.98772784,124.3860252,115,83
648,10.98772784,124.3860252,122,83
648,10.98772784,124.3860252,123,84
648,10.98772784,124.3860252,120,84
648,10.98772784,124.3860252,131,83
648,10.98772784,124.3860252,133,82
648,10.98772784,124.3860252,139,83
608,10.9897652,133.2935022,129,84
608,10.9897652,133.2935022,123,83
608,10.9897652,133.2935022,119,83
608,10.9897652,133.2935022,131,85
608,10.9897652,133.2935022,131,83
608,10.9897652,133.2935022,145,83
619,10.99316375,139.8797771,163,82
619,10.99316375,139.8797771,129,83
619,10.99316375,139.8797771,124,83
619,10.99316375,139.8797771,136,83
619,10.99316375,139.8797771,135,83
619,10.99316375,139.8797771,138,83
619,10.99316375,139.8797771,138,85
619,10.99316375,139.8797771,140,84
619,10.99316375,139.8797771,159,85
628,10.99814806,134.6153846,166,87
628,10.99814806,134.6153846,124,87
628,10.99814806,134.6153846,136,83
617,11.00028567,148.2345854,167,83
617,11.00028567,148.2345854,133,83
617,11.00028567,148.2345854,142,87
617,11.00028567,148.2345854,138,88
617,11.00028567,148.2345854,151,83
617,11.00028567,148.2345854,173,82
617,11.00028567,148.2345854,154,85
617,11.00028567,148.2345854,138,84
617,11.00028567,148.2345854,154,83
617,11.00028567,148.2345854,152,86
617,11.00028567,148.2345854,151,83
617,11.00028567,148.2345854,151,83
617,11.00028567,148.2345854,156,83
617,11.00028567,148.2345854,142,88
617,11.00028567,148.2345854,152,85
617,11.00028567,148.2345854,153,85
617,11.00028567,148.2345854,156,87
617,11.00028567,148.2345854,154,85
617,11.00028567,148.2345854,156,86
617,11.00028567,148.2345854,158,88
617,11.00028567,148.2345854,154,87
617,11.00028567,148.2345854,157,85
617,11.00028567,148.2345854,156,85
617,11.00028567,148.2345854,154,92
405,11.00503162,124.305033,158,89
405,11.00503162,124.305033,151,80
405,11.00503162,124.305033,119,81
405,11.00503162,124.305033,121,83
405,11.00503162,124.305033,123,80
405,11.00503162,124.305033,122,81
405,11.00503162,124.305033,134,81
405,11.00503162,124.305033,137,86
749,11.00955931,144.087469,167,83
749,11.00955931,144.087469,147,84
618,11.02112814,135.9792403,158,83
618,11.02112814,135.9792403,129,81
618,11.02112814,135.9792403,120,82
618,11.02112814,135.9792403,136,83
618,11.02112814,135.9792403,145,83
232,11.02947718,144.615493,166,85
232,11.02947718,144.615493,156,85
232,11.02947718,144.615493,142,59
232,11.02947718,144.615493,148,81
232,11.02947718,144.615493,151,85
794,11.03329497,136.7301455,150,83
794,11.03329497,136.7301455,137,83
794,11.03329497,136.7301455,139,83
752,11.03408594,145.5150215,155,84
470,11.04198697,128.9831844,153,83
470,11.04198697,128.9831844,157,82
470,11.04198697,128.9831844,134,82
470,11.04198697,128.9831844,122,82
470,11.04198697,128.9831844,120,83
470,11.04198697,128.9831844,127,85
703,11.04527541,141.7186188,170,83
703,11.04527541,141.7186188,134,82
703,11.04527541,141.7186188,141,83
703,11.04527541,141.7186188,149,83
570,11.05964758,136.3950348,166,84
570,11.05964758,136.3950348,146,83
570,11.05964758,136.3950348,139,83
570,11.05964758,136.3950348,138,86
570,11.05964758,136.3950348,133,84
570,11.05964758,136.3950348,135,85
570,11.05964758,136.3950348,127,85
570,11.05964758,136.3950348,134,83
570,11.05964758,136.3950348,132,83
570,11.05964758,136.3950348,129,83
570,11.05964758,136.3950348,128,81
570,11.05964758,136.3950348,142,84
570,11.05964758,136.3950348,137,86
570,11.05964758,136.3950348,128,83
570,11.05964758,136.3950348,127,83
570,11.05964758,136.3950348,115,85
570,11.05964758,136.3950348,133,83
570,11.05964758,136.3950348,125,84
570,11.05964758,136.3950348,134,84
570,11.05964758,136.3950348,136,84
570,11.05964758,136.3950348,120,85
570,11.05964758,136.3950348,134,83
570,11.05964758,136.3950348,137,84
