event_id,altitude_change_past_300_seconds,altitude_change_past_600_seconds,heart_rate_stop,avg_hr,avg_speed
361,-50,-1,148,146.2313897,13.34831961
412,-50,-50,141,144.6958002,13.07706943
565,-50,-34.8,147,143.8994073,12.31715324
807,-49.8,-49.8,174,144.3365931,12.68920505
4,-49.4,-49.4,155,149.4106115,12.51918142
178,-49.2,-49.2,160,158.8602251,14.00897399
205,-49.2,-49.2,166,150.8678663,12.62670848
82,-49,-49,148,155.2078327,13.07001332
217,-49,-60.8,137,152.3493906,13.59846407
196,-48.8,-48.8,164,170.1917695,13.62862829
637,-48.2,-48.2,135,140.8169811,11.06175849
533,-47.6,-47.6,169,158.5878824,13.82946587
326,-47.4,34.8,161,152.5339151,12.86466709
42,-47.2,-47.2,152,164.2277261,15.49029854
211,-47,-21.4,164,152.9886493,13.09466901
763,-47,-47,155,141.7130435,11.87127384
639,-46.4,-46.4,168,141.5268435,11.34375738
718,-46.2,-44.4,170,159.2452147,12.76084159
196,-46,-46,149,170.1917695,13.62862829
719,-46,-53.4,155,155.1047516,12.92465054
493,-45.8,-45.8,164,145.5803903,11.84704294
166,-45.6,-45.6,159,150.4239421,13.23684865
471,-45.6,-45.6,169,149.5601323,12.30951238
526,-45.6,-45.6,174,163.1066176,11.4904006
402,-45.4,-14.2,147,150.1008111,14.19662086
424,-45.2,-45.2,135,133.2035637,11.91873469
628,-44.8,-44.8,166,134.6153846,10.99814806
719,-44.6,-58.6,171,155.1047516,12.92465054
239,-44.2,-44.2,144,143.7649805,13.2274198
432,-43.8,-43.8,168,136.4604701,12.3591359
361,-43.6,-6.6,140,146.2313897,13.34831961
835,-43.6,-29,139,154.8328321,12.8137994
718,-43,-35.2,162,159.2452147,12.76084159
259,-42.8,-42.8,166,162.4146341,15.08849447
584,-42.8,-11.2,145,135.7148453,11.9700973
6,-42.6,-42.6,150,144.8876781,14.83615977
425,-42.6,-42.6,139,126.7937086,11.74841523
478,-42.6,1.4,155,134.6162162,11.13113201
21,-42.4,-25,142,134.9046653,12.52254888
60,-42.4,-42.4,140,148.1702606,13.32267493
326,-42.4,34.8,162,152.5339151,12.86466709
136,-42.2,-42.2,140,136.8065476,11.92417143
332,-42.2,-20.2,154,150.7260222,13.34014941
570,-42,-15.2,134,136.3950348,11.05964758
440,-41.6,-41.6,166,140.0800395,11.93315336
719,-41.6,-9.4,159,155.1047516,12.92465054
507,-41.4,-41.4,170,153.3786107,12.69866466
801,-41.4,-41.2,170,151.4146341,12.43561383
163,-40.8,-38.6,154,161.2394708,14.59632149
4,-40.6,-58.8,156,149.4106115,12.51918142
66,-40.6,-6,154,151.6160584,13.02983737
457,-40.4,-40.4,170,137.3216208,11.62555442
492,-40.4,-49,158,151.0400209,12.85785341
597,-40.4,4.6,148,147.3165171,12.2914424
290,-40,-25,164,154.6904594,11.93482177
304,-40,5.4,166,165.3728949,15.38680417
636,-39.8,-39.8,140,137.8762353,11.6657568
256,-39,-39,166,140.150771,12.70206
568,-38.4,-4.2,153,136.1166961,11.33732169
480,-37.8,4.6,139,147.7496439,11.60891923
603,-37.8,-8.2,129,134.8995357,11.0924358
537,-37.4,-33.8,131,137.7089479,11.7396649
662,-37.4,-37.4,161,127.1428073,10.84690157
82,-37.2,-37.2,157,155.2078327,13.07001332
96,-37,-37,174,163.5007496,13.8260468
480,-37,-35.2,128,147.7496439,11.60891923
96,-36.6,-36.6,162,163.5007496,13.8260468
98,-36.4,39.8,148,156.0903294,12.75455133
229,-36.4,-43.6,152,154.4663986,13.24942056
94,-35.8,-35.8,156,158.6023529,13.83798155
545,-35.8,-35.8,174,152.0648814,13.16030658
570,-35.8,7,136,136.3950348,11.05964758
99,-35.2,-35.2,161,156.295082,13.13780462
576,-35.2,-35.2,177,147.4588071,11.56513179
478,-35,4.2,119,134.6162162,11.13113201
782,-35,-64.8,169,155.4073084,12.82674331
229,-34.6,-45,138,154.4663986,13.24942056
225,-34.4,-44,161,158.6851595,14.08235784
688,-34.4,-17.6,148,148.2147947,11.53261943
377,-34,-34,166,136.8225299,11.53318565
388,-34,-15,116,113.0173954,10.33265501
720,-34,-3.4,165,163.2158365,12.42664138
95,-33.8,3.6,168,157.7890625,12.71941108
350,-33.8,-33.8,137,134.3880699,12.08442408
88,-33.6,-26.4,168,168.2782324,12.32521571
161,-33.6,-1.4,165,164.6705927,12.94125435
658,-33.6,-27.6,153,140.3690023,11.58462727
719,-33.6,-41.6,175,155.1047516,12.92465054
256,-33.2,11,147,140.150771,12.70206
379,-33.2,-33.2,123,112.8872215,10.26521746
529,-33.2,-33.2,168,150.0365051,12.07114039
229,-33,-33,171,154.4663986,13.24942056
230,-33,-33,156,155.7287523,13.08640199
243,-33,-13.8,159,151.7248996,13.3635759
350,-33,-33,119,134.3880699,12.08442408
829,-33,-33,165,138.7577065,11.68778841
13,-32.8,-32.8,156,143.8639944,12.11354875
384,-32.8,-16.6,146,141.9528411,13.3879213
718,-32.8,-32.8,176,159.2452147,12.76084159
151,-32.6,-32.6,156,158.156172,12.77093859
615,-32.6,-24,150,141.8532533,11.53285722
102,-32.4,-32.4,165,157.531537,14.04196424
562,-32.4,-20.6,143,146.4650073,12.95960657
660,-32.4,-32.4,162,151.977494,13.65589691
355,-32.2,-12.6,151,135.5260516,12.38773078
516,-32.2,-43.6,171,163.1876241,15.22236175
569,-32.2,-31.8,131,133.8945445,11.25614471
655,-32.2,-23.8,133,137.9701428,11.2655031
454,-32,-32,169,144.9427046,11.92273943
686,-31.8,-31.8,171,143.1550305,12.26827182
334,-31.6,-21.8,146,144.7770545,12.89844293
708,-31.6,-21.4,143,138.7173469,11.70572557
285,-31.4,-31.4,185,139.1203501,12.60415667
168,-31.2,-31.2,160,151.2732278,13.54063317
248,-31.2,-1.8,137,145.9598863,13.12178698
376,-31.2,-18.4,160,129.845187,12.0217684
500,-31.2,-0.6,148,141.2747902,11.87614065
577,-31.2,-4.6,155,148.7532051,12.548362
598,-31.2,-31.2,171,154.2317808,11.91046388
769,-31.2,-31.2,135,130.3586767,11.30669739
131,-31,-31,150,153.9189679,13.15786673
363,-31,-21.6,135,155.973672,12.49158788
209,-30.8,-54.8,161,154.1025595,12.07064157
249,-30.8,-9.4,147,147.6396166,12.12632741
292,-30.8,-13.2,148,145.2756233,13.42369343
691,-30.8,-31.8,154,154.3849733,13.05931359
107,-30.6,-18.6,163,163.4945726,12.97775593
406,-30.6,-30.6,160,151.2854197,13.47094744
480,-30.6,-22.2,156,147.7496439,11.60891923
509,-30.6,-30.6,169,159.5567686,12.79447331
574,-30.6,-21,128,136.1698915,11.47560906
600,-30.6,-30.6,169,154.9724016,11.98896098
602,-30.6,-30.6,148,153.4196429,12.20600078
609,-30.6,-7,132,140.9433962,11.07445489
817,-30.6,-18.8,137,136.4993987,11.22162862
105,-30.4,-30.4,165,161.3524664,12.00021094
575,-30.4,-30.4,163,154.5339196,11.58307688
821,-30.4,-39.4,144,138.7921609,11.80433966
85,-30.2,-70.4,149,150.8939567,13.23366773
275,-30.2,-30.2,167,140.5686783,11.93234551
